Motivo da viagem,Acompanhantes por faixa etária,Atrativos visitados,Data de chegada,Data de partida,Cidade e estado de origem,Grau de escolaridade,Ocupação profissional,Renda familiar,Gasto médio diário em Olímpia,Perfil_Latente_Gerador
Visitar familiares,Sozinho,Conhecer pontos turísticos principais,2023-01-18,2023-01-26,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,Mais de 10 salários mínimos,183.5,Turista econômico
Lazer,Sozinho,Participar de eventos da cidade,2023-08-08,2023-08-12,Goiânia - GO,Superior Completo,Assalariado,6 a 10 salários mínimos,786.86,Familia de parques aquaticos
Lazer,Família com crianças,Conhecer pontos turísticos principais,2023-12-07,2023-12-16,São Paulo - SP,Ensino Médio,Estudante,Até 3 salários mínimos,203.87,Turista econômico
Lazer,Sozinho,Participar de eventos da cidade,2023-12-26,2024-01-02,Campinas - SP,Superior Completo,Estudante,6 a 10 salários mínimos,631.13,Familia de parques aquaticos
Visitar familiares,Família com crianças,Parques aquáticos,2023-12-22,2023-12-29,Curitiba - PR,Superior Completo,CLT,6 a 10 salários mínimos,726.75,Familia de parques aquaticos
Negócios,Família com crianças,Hoteis,2023-09-25,2023-09-26,São José do Rio Preto - SP,Pós-graduação,Aposentado,6 a 10 salários mínimos,894.49,Turista Corporativo
Visitar familiares,Família com crianças,Parques aquáticos,2023-06-02,2023-06-04,São Paulo - SP,Superior Completo,Assalariado,Até 3 salários mínimos,1567.3,Turista fiel premium
Negócios,Família com crianças,Hoteis,2023-12-04,2023-12-05,Ribeirão Preto - SP,Ensino Médio,Servidor Público,Mais de 10 salários mínimos,119.83,Turista Corporativo
Lazer,Casal,Parques aquáticos,2023-01-19,2023-01-23,Belo Horizonte - MG,Superior Incompleto,Estudante,6 a 10 salários mínimos,591.45,Familia de parques aquaticos
Visitar familiares,Casal,Hoteis,2023-12-26,2023-12-30,São Paulo - SP,Superior Incompleto,Estudante,6 a 10 salários mínimos,272.79,Turista fiel premium
Lazer,Casal,Parques aquáticos,2023-12-09,2023-12-15,São Paulo - SP,Superior Incompleto,Servidor Público,Mais de 10 salários mínimos,664.14,Familia de parques aquaticos
Lazer,Família com crianças,Conhecer pontos turísticos principais,2023-01-23,2023-01-29,São Paulo - SP,Superior Completo,CLT,6 a 10 salários mínimos,717.72,Familia de parques aquaticos
Saúde/Bem-estar,Sozinho,Hoteis,2023-09-26,2023-09-29,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,Mais de 10 salários mínimos,123.59,Turista Corporativo
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2023-10-14,2023-10-20,São Paulo - SP,Ensino Médio,CLT,Até 3 salários mínimos,105.74,Turista econômico
