Motivo da viagem,Acompanhantes por faixa etária,Atrativos visitados,Data de chegada,Data de partida,Cidade e estado de origem,Grau de escolaridade,Ocupação profissional,Renda familiar,Gasto médio diário em Olímpia,Perfil_Latente_Gerador
Lazer,Família com crianças,Parques aquáticos,2021-12-18,2021-12-22,Ribeirão Preto - SP,Superior Incompleto,Estudante,Até 3 salários mínimos,461.12,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2021-12-01,2021-12-06,São Paulo - SP,Pós-graduação,Empresário/Profissional Liberal,3 a 6 salários mínimos,569.09,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2021-07-04,2021-07-11,São Paulo - SP,Pós-graduação,CLT,3 a 6 salários mínimos,308.64,Familia de parques aquaticos
Visitar familiares,Sozinho,Hoteis,2021-02-22,2021-02-26,São Paulo - SP,Ensino Médio,Servidor Público,Até 3 salários mínimos,195.35,Turista Corporativo
Negócios,Casal,Hoteis,2021-08-25,2021-08-29,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,Até 3 salários mínimos,238.81,Turista Corporativo
Lazer,Família com crianças,Parques aquáticos,2021-12-29,2022-01-04,São Paulo - SP,Superior Completo,CLT,6 a 10 salários mínimos,624.73,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2021-07-24,2021-07-30,São Paulo - SP,Ensino Médio,Empresário/Profissional Liberal,6 a 10 salários mínimos,799.14,Familia de parques aquaticos
Lazer,Família com crianças,Parques aquáticos,2021-07-15,2021-07-21,Ribeirão Preto - SP,Pós-graduação,Estudante,Até 3 salários mínimos,1832.94,Familia de parques aquaticos
Visitar familiares,Família com crianças,Conhecer pontos turísticos principais,2021-02-17,2021-02-24,São José do Rio Preto - SP,Superior Completo,CLT,Até 3 salários mínimos,115.96,Turista econômico
Lazer,Família com crianças,Parques aquáticos,2021-02-17,2021-02-24,São Paulo - SP,Superior Completo,Empresário/Profissional Liberal,6 a 10 salários mínimos,239.36,Familia de parques aquaticos
